Name,Team,ERA
Dustin Saenz,,5.19
Nick Davila,SEA,4.7
Jagger Haynes,SDP,5.17
Seth Lonsway,SFG,4.82
Zach Plesac,,5.26
Andrew Bash,MIN,4.95
Mason Albright,COL,5.9
Tyler Schlaffer,CHC,5.17
Omar Cruz,SDP,4.75
Aaron Davenport,CLE,4.97
Mason Green,COL,5.42
Hyun-il Choi,,5.4
Jacob Watters,TBR,5.59
Nic Swanson,HOU,5.06
Cesar Gomez,,4.7
Luke Fox,LAD,5.79
Chad Kuhl,,5.05
Josh Fleming,TOR,4.48
Mason Erla,LAA,5.17
Michael Arias,NYY,5.25
Austin Cox,ATL,4.82
Alec Gamboa,BOS,5.03
Cruz Noriega,,5.07
Trace Bright,BAL,5.31
Wikelman González,CHW,5.35
Jared Karros,LAD,5.82
Chris Kachmar,,5.16
Sean Hunley,,5.05
Enmanuel Pinales,SDP,5.32
Douglas Orellana,NYM,4.82
Oscar Rayo,KCR,4.88
Luis Vargas,ATL,5.11
Edgar Sanchez,ATH,5.09
Gerson Garabito,MIL,5.09
Devin Smeltzer,,5.25
Cole Percival,MIN,5.17
Joseph Montalvo,DET,5.29
Joel Hurtado,LAA,5.52
Alec Baker,ARI,4.76
Garrett Hill,,4.74
Christian Roa,HOU,4.39
Chris Rodriguez,CHW,5.54
Luke Albright,,4.8
Kenny Serwa,DET,5.46
Kevin Abel,CIN,6.01
Julian Garcia,CIN,5.93
Roman Angelo,ARI,4.94
Jordan Mikel,,5.11
Elvin Rodríguez,,5
