Name,Team,ERA
Tyler Phillips,Miami Marlins,4.32
Tyler Schweitzer,Chicago White Sox,4.95
Marcus Stroman,,4.76
Dom Hamel,New York Yankees,4.91
Tony Gonsolin,,4.9
Tristan Beck,San Francisco Giants,4.07
Ty Cummings,Tampa Bay Rays,4.93
Hunter Owen,Kansas City Royals,4.86
Winston Santos,Texas Rangers,4.95
John Klein,Minnesota Twins,4.68
David Sandlin,Chicago White Sox,4.62
Ryan Gallagher,Minnesota Twins,5.11
Jhony Brito,San Diego Padres,4.33
Ben Lively,Cleveland Indians,4.57
Nick Margevicius,San Francisco Giants,4.31
Sean Hjelle,,4.25
Jake Bennett,Boston Red Sox,4.68
Steven Zobac,Kansas City Royals,4.88
Patrick Monteverde,Miami Marlins,4.5
Will Watson,New York Mets,4.98
Randy Dobnak,Seattle Mariners,4.24
McCade Brown,Colorado Rockies,5.21
Miles Mikolas,Washington Nationals,4.86
Jake Irvin,Washington Nationals,5.01
Griff McGarry,Washington Nationals,4.68
Ian Anderson,,4.57
Ben Casparius,Los Angeles Dodgers,4.8
Braden Nett,Athletics,4.97
Hayden Wesneski,Houston Astros,4.42
Miguel Ullola,Houston Astros,4.49
Kyle Hurt,Los Angeles Dodgers,4.77
Jack Cushing,Toronto Blue Jays,4.59
Jack Anderson,Boston Red Sox,4.52
Chris Clarke,,4.5
Osvaldo Bido,New York Yankees,4.75
James Hicks,Houston Astros,4.36
Yu-Min Lin,Arizona Diamondbacks,4.5
Alex Faedo,,4.52
Michael Kopech,,4.43
Garrett Stallings,Milwaukee Brewers,4.74
Daniel Espino,Cleveland Indians,4.27
Easton McGee,Milwaukee Brewers,4.06
Jack O'Loughlin,,4.71
Michael Plassmeyer,Toronto Blue Jays,4.75
Hayden Mullins,Boston Red Sox,4.83
Chayce McDermott,Baltimore Orioles,4.67
Kenta Maeda,,5.09
Ricky Castro,Minnesota Twins,4.76
C.J. Culpepper,Minnesota Twins,4.83
Jonathan Bowlan,Philadelphia Phillies,4.48
Landon Harper,Atlanta Braves,4.64
Jack Kochanowicz,Kansas City Royals,5.26
Hunter Patteson,Kansas City Royals,5.04
Nick Dean,Boston Red Sox,4.52
Bryce Mayer,Houston Astros,4.66
Blake Beers,Athletics,4.82
Luis De Le�n,Baltimore Orioles,4.76
Domingo Robles,Athletics,4.7
Levi Wells,Baltimore Orioles,4.82
Jason Alexander,Houston Astros,4.66
Brandon Leibrandt,Cincinnati Reds,4.96
Trey Dombroski,Houston Astros,4.68
Jose Corniell,Texas Rangers,4.65
Jaxon Wiggins,Boston Red Sox,4.48
Will Johnston,Athletics,4.52
Blake Adams,Colorado Rockies,5.21
Trey Supak,Texas Rangers,5.12
Jeff Criswell,Colorado Rockies,4.66
David Buchanan,,4.96
James Gonzalez,Athletics,4.9
Alex Pham,Baltimore Orioles,4.74
Ryan Webb,Cleveland Indians,4.54
Marco Raya,Minnesota Twins,4.88
Josiah Gray,Washington Nationals,4.82
Eduardo Rivera,Boston Red Sox,4.77
Kyle Luckham,Washington Nationals,5.05
Evan McKendry,Miami Marlins,5.19
Robinson Pi�a,,4.5
Garrett McMillan,Pittsburgh Pirates,4.1
